fund_symbol,fund_short_name,initial_investment,total_net_assets,year_to_date_return,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low_change,week52_low_change_perc,fund_yield,morningstar_overall_rating,morningstar_risk_rating,inception_date,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_year3_earnings_growth,category_year3_earnings_growth,category_bond_maturity,category_bond_duration,top10_holdings_total_assets,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_return_2009,fund_return_2008,fund_return_2007,fund_return_2006,fund_return_2005,fund_return_2004,fund_return_2003,fund_return_2002,fund_return_2001,fund_return_2000,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years,sustainability_rank,esg_peer_count,esg_score,peer_esg_min,peer_esg_avg,peer_esg_max,environment_score,peer_environment_min,peer_environment_avg,peer_environment_max,social_score,peer_social_min,peer_social_avg,peer_social_max,governance_score,peer_governance_min,peer_governance_avg,peer_governance_max
AAAAX,DWS RREEF Real Assets Fund - Cl,1000,2979347456,0.210,12.788,12.369,2.440,0.187,13.060,-0.510,-0.039,1.930,0.182,0.019,3,3,39293,968,1264,2105,0.000,0.000,0.141,0.352,0.001,0.103,-1.390,9.160,6.110,5.800,0.255,0.091,0.082,0.061,0.059,9.000,4.000,0.037,0.214,-0.054,0.147,0.040,-0.097,0.030,0.008,0.093,-0.035,0.122,0.256,-0.271,0.145,0.131,0.061,0.080,0.204,-0.128,-0.071,-0.034,0.910,87.220,13.680,0.710,8.260,-2.650,1.120,0.720,82.240,11.310,0.660,6.440,-2.790,0.960,0.420,77.560,9.350,0.480,4.250,31.000,377.000,22.460,19.550,23.590,28.930,8.420,1.930,5.050,10.580,7.430,5.980,9.070,11.300,5.430,4.260,7.140,8.110
AAAEX,AllianzGI Health Sciences Fund ,1000000,195348944,0.191,40.513,38.650,8.530,0.203,42.110,-2.770,-0.066,5.760,0.172,0.008,4,2,44025,346,599,1326,0.000,0.960,0.000,0.000,0.000,0.000,11.950,30.260,0.000,0.000,0.429,0.000,0.143,0.196,0.146,15.000,6.000,0.424,0.316,0.015,0.277,-0.023,0.097,0.101,0.349,0.178,-0.063,0.097,0.392,-0.428,0.158,0.063,0.066,0.078,0.290,-0.301,-0.243,-0.144,1.490,65.550,15.820,1.050,23.460,3.180,0.760,1.220,58.080,14.410,0.930,17.650,6.140,0.750,1.180,55.790,14.160,0.960,17.780,51.000,168.000,27.050,21.070,27.980,36.790,1.420,0.340,1.430,3.270,12.960,9.520,12.870,15.080,8.400,4.960,7.680,10.300
AAAFX,Thrivent Large Cap Growth Fund ,2500,25946,0.246,10.544,10.392,0.760,0.071,10.710,-0.290,-0.027,0.470,0.047,0.008,4,4,44265,186,0,0,0.168,0.134,0.128,0.038,0.170,0.026,12.510,11.390,5.770,5.700,0.856,0.000,0.083,0.053,0.067,6.000,2.000,0.147,0.206,-0.088,0.222,0.046,-0.042,0.059,0.271,0.085,-0.041,0.113,0.248,-0.278,0.145,0.131,0.061,0.080,0.204,-0.128,-0.071,-0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AAAGX,Thrivent Large Cap Growth Fund ,2000,2078606848,0.246,18.485,17.294,4.640,0.240,19.370,-1.340,-0.069,3.300,0.224,0.008,4,4,36462,786,1035,1748,0.146,0.133,0.035,0.000,0.325,0.000,32.360,23.690,3.630,2.730,0.557,0.193,0.204,0.196,0.152,15.000,6.000,0.424,0.316,0.015,0.277,-0.023,0.097,0.101,0.349,0.178,-0.063,0.097,0.392,-0.428,0.158,0.063,0.066,0.078,0.290,-0.301,-0.243,-0.144,2.030,88.360,20.210,1.140,22.950,5.010,1.030,1.910,85.290,16.660,1.300,22.100,0.910,1.080,1.400,85.760,15.800,1.030,15.020,26.000,1333.000,20.550,17.950,21.440,31.110,2.040,1.150,2.700,5.810,10.130,7.250,10.140,11.970,8.030,5.300,7.540,8.900
ALAFX,Alger Focus Equity Fund Class A,1000,1481543680,0.156,64.435,60.723,15.010,0.222,67.690,-5.130,-0.076,9.880,0.188,0.037,4,3,41274,812,1023,1630,0.134,0.081,0.061,0.000,0.372,0.000,25.330,23.690,3.630,2.730,0.520,0.201,0.204,0.062,0.152,8.000,0.000,0.457,0.338,0.013,0.338,0.010,0.069,0.138,0.356,0.121,0.037,0.104,0.210,-0.319,0.115,0.036,0.072,0.038,0.216,-0.176,-0.034,-0.051,2.100,88.840,19.540,1.220,24.860,7.160,0.990,2.040,84.900,16.130,1.440,24.940,2.320,1.030,1.460,85.680,15.100,1.120,16.640,36.000,1333.000,20.820,17.950,21.440,31.110,2.860,1.150,2.700,5.810,10.160,7.250,10.140,11.970,7.490,5.300,7.540,8.900
ALARX,Alger Capital Appreciation Inst,1000,4093864704,0.148,49.512,46.554,11.590,0.223,52.000,-4.090,-0.079,7.500,0.186,0.037,4,3,34281,359,622,1375,0.114,0.079,0.044,0.007,0.375,0.000,23.730,23.690,3.630,2.730,0.467,0.183,0.204,0.175,0.152,20.000,7.000,0.413,0.331,-0.009,0.310,0.005,0.062,0.133,0.348,0.181,-0.010,0.135,0.491,-0.439,0.316,0.182,0.147,0.080,0.342,-0.344,-0.169,-0.259,1.960,89.900,19.350,1.150,22.990,5.030,0.990,1.870,85.630,16.070,1.320,22.310,1.740,1.040,1.420,87.590,15.040,1.090,16.000,47.000,1333.000,21.110,17.950,21.440,31.110,2.840,1.150,2.700,5.810,10.440,7.250,10.140,11.970,7.780,5.300,7.540,8.900
ALAYX,Invesco Income Allocation Fund ,1000,543397696,0.061,11.742,11.726,0.650,0.055,11.920,-0.280,-0.023,0.370,0.033,0.037,3,3,39724,203,366,842,0.139,0.098,0.055,0.211,0.043,0.097,3.280,16.790,6.370,4.710,0.818,0.057,0.075,0.062,0.060,10.000,2.000,0.026,0.154,-0.042,0.083,0.094,-0.008,0.087,0.068,0.121,0.037,0.104,0.210,-0.319,0.115,0.036,0.072,0.038,0.216,-0.176,-0.034,-0.051,0.590,88.010,9.690,0.600,6.960,-2.350,0.790,0.500,86.740,7.730,0.620,5.920,0.340,0.700,0.520,82.280,6.560,0.850,7.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ALBAX,Alger Growth & Income Fund Cla,1000,146414880,0.195,61.030,57.763,14.460,0.228,63.400,-1.810,-0.029,12.650,0.258,0.010,3,2,35430,845,1079,1751,0.158,0.131,0.064,0.053,0.253,0.013,18.170,20.020,1.740,1.250,0.409,0.141,0.157,0.142,0.128,19.000,5.000,0.152,0.289,-0.047,0.206,0.102,0.012,0.122,0.293,0.118,0.048,0.096,0.284,-0.314,0.123,0.044,0.080,0.046,0.224,-0.170,-0.027,-0.043,1.510,98.580,17.660,0.960,17.670,-0.380,0.950,1.360,98.360,14.350,1.050,16.030,-0.260,0.930,1.130,98.080,12.790,1.020,13.910,36.000,1451.000,21.810,17.610,22.160,33.100,3.330,1.480,3.810,10.040,10.210,7.420,10.120,12.040,7.700,5.270,7.540,10.670
ALBCX,Alger Growth & Income Fund Cla,1000,146414880,0.190,60.057,56.861,14.120,0.226,62.360,-1.790,-0.029,12.330,0.256,0.003,3,2,35642,569,980,2127,0.158,0.131,0.064,0.053,0.253,0.013,18.170,20.020,1.740,1.250,0.409,0.132,0.157,0.133,0.128,18.000,5.000,0.144,0.280,-0.054,0.197,0.094,0.004,0.113,0.283,0.109,0.041,0.088,0.275,-0.319,0.115,0.036,0.072,0.038,0.216,-0.176,-0.034,-0.051,1.450,98.590,17.630,0.910,16.760,-1.120,0.950,1.290,98.370,14.330,1.000,15.130,-1.010,0.930,1.070,98.080,12.770,0.960,13.010,36.000,1451.000,21.810,17.610,22.160,33.100,3.330,1.480,3.810,10.040,10.210,7.420,10.120,12.040,7.700,5.270,7.540,10.670
ALCAX,"AB Municipal Income Fund, Inc. ",2500,1065940992,0.027,11.499,11.544,0.290,0.025,11.670,-0.140,-0.012,0.150,0.013,0.024,5,4,31775,539,717,1234,0.158,0.144,0.119,0.011,0.188,0.000,0.000,0.000,7.140,4.720,0.215,0.037,0.025,0.043,0.036,29.000,5.000,0.049,0.068,0.003,0.055,-0.004,0.032,0.105,-0.032,0.077,0.107,0.037,0.140,-0.073,0.022,0.051,0.050,0.055,0.044,0.072,0.041,0.101,0.390,90.620,5.100,0.680,2.800,-0.530,1.120,0.250,90.960,4.580,0.410,1.600,-0.330,1.090,0.360,93.400,4.080,0.900,3.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
